style,name,alpha_acid,substitutions,description
American Amber & Pale Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
American Amber & Pale Ale,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
American Amber & Pale Ale,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
American Amber & Pale Ale,Kohatu (New Zealand),3%,,Aroma hop with high essential oils and intense floral characters of pine needles and tropical fruit.
American Amber & Pale Ale,Legacy (U.S.),NA,,"Clean grapefruit, floral, black currant notes and a spicy aroma."
American Amber & Pale Ale,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
American Amber & Pale Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
American Amber & Pale Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
American Amber & Pale Ale,Nelson Sauvin (New Zealand),12-14%,,"Distinctive white wine ""fruitiness,"" gooseberry. Considered by some as ""extreme,"" this hop is often used in specialty craft and seasonal beers."
American Amber & Pale Ale,Newport,13-17%,"Galena, Nugget",Fairly pungent.
American Amber & Pale Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
American Amber & Pale Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
American Amber & Pale Ale,Northwest Golding,4-5%,,Known for aromatic properties.
American Amber & Pale Ale,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
American Amber & Pale Ale,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
American Amber & Pale Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
American Amber & Pale Ale,Orbit (New Zealand),NA,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.
American Amber & Pale Ale,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
American Amber & Pale Ale,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
American Amber & Pale Ale,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
American Amber & Pale Ale,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
American Amber & Pale Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
American Amber & Pale Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
American Amber & Pale Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
American Amber & Pale Ale,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
American Amber & Pale Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
American Amber & Pale Ale,Riwaka (New Zealand),4.5-6.5%,"Czech Saaz, possible American ""C"" hops","Citrusy, grapefruit aroma hop"
American Amber & Pale Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
American Amber & Pale Ale,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
American Amber & Pale Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
American Amber & Pale Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
American Amber & Pale Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
American Amber & Pale Ale,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
American Amber & Pale Ale,Summer (Australia),5.6-6.4%,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping."
American Amber & Pale Ale,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
American Amber & Pale Ale,Sun,12-16%,Magnum,High-alpha hop with intense character
American Amber & Pale Ale,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
American Amber & Pale Ale,Super Pride (Australia),14%,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.
American Amber & Pale Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
American Amber & Pale Ale,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
American Amber & Pale Ale,Topaz (Australia),13.7-17.7%,,"A dual purpose hop, Topaz adds a resinous, grassy flavors; however, with later additions and in higher gravity brews, light tropical fruit flavors (some say lychee) become more pronounced."
American Amber & Pale Ale,Vic Secret (Australia),14-17%,,"An aroma hop with resinous, grassy and mild fruit flavors. Late and dry hop additions introduce appealing clean and distinct pineapple and pine characters. Lighter and less dominant than Galaxy."
American Amber & Pale Ale,Wai-iti (New Zealand),3.40%,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest"
American Amber & Pale Ale,Waimea (New Zealand),16-19%,,High alpha but also lots of oils giving fresh tangelo and citrus fruit aroma with pine needles
American Amber & Pale Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
American Amber & Pale Ale,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
American Amber & Pale Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
American Amber & Pale Ale,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
American Amber & Pale Ale,Zeus,13-17%,Columbus,Aromatic and pleasant.
American Lager,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
American Lager,Boadicea (U.K.),8-9%,,spicy
American Lager,Cashmere (U.S.),7.7-9.1%,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits."
American Lager,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
American Lager,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
American Lager,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
American Lager,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
American Lager,Crystal,2-4.5%,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery."
American Lager,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
American Lager,Ella (Australia),13.3-16.3%,,"Dual purpose hop that displays floral and subtle spice notes. When used as a late addition or dry hop, it imparts grapefruit and topical flavors."
American Lager,Eureka!,17-19%,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions."
American Lager,Green Bullet (New Zealand),11-14%,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.
American Lager,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
American Lager,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
American Lager,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
American Lager,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
American Lager,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
American Lager,Herkules (German),12-17%,,bittering hop
American Lager,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
American Lager,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
American Lager,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
American Lager,Legacy (U.S.),NA,,"Clean grapefruit, floral, black currant notes and a spicy aroma."
American Lager,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
American Lager,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
American Lager,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
American Lager,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
American Lager,Merkur (German),12-15%,Magnum,"high-alpha, bittering hop"
American Lager,Millenium,12-15%,Nugget,"Mild, herbal, similar to Nugget."
American Lager,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
American Lager,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
American Lager,Newport,13-17%,"Galena, Nugget",Fairly pungent.
American Lager,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
American Lager,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
American Lager,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
American Lager,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
American Lager,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
American Lager,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
American Lager,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
American Lager,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
American Lager,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
American Lager,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
American Lager,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
American Lager,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
American Lager,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
American Lager,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
American Lager,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
American Lager,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
American Lager,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
American Lager,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
American Lager,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
American Lager,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
American Lager,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
American Lager,Taurus (German),12-17%,Magnum,high-alpha hop
American Lager,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
American Lager,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
American Lager,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
American Lager,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
American Lager,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
American Lager,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
American Pale Ale,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
American Pale Ale,Belma (U.S.),12.10%,,"Clean bitterness, citrus, tropical fruit flavors."
American Pale Ale,Boadicea (U.K.),8-9%,,spicy
American Pale Ale,Calypso (U.S.),12-14%,,"Exhibits pleasant fruity notes-apple, pear, fruit punch."
American Pale Ale,Cashmere (U.S.),7.7-9.1%,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits."
American Pale Ale,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
American Pale Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
American Pale Ale,Eureka!,17-19%,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions."
American Pale Ale,Galaxy® (Australia),11-16%,,"When used as a late addition or dry hopped, it contributes a pungent flavor of passionfruit and citrus."
American Pale Ale,Hallertau Blanc (German),9-12%,,"Winey, passion fruit, grapefruit, gooseberry, pineapple character."
American Pale Ale,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
American Pale Ale,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
American Pale Ale,Kohatu (New Zealand),3%,,Aroma hop with high essential oils and intense floral characters of pine needles and tropical fruit.
American Pale Ale,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
American Pale Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
American Pale Ale,Mandarina Bavaria (German),7-10%,Cascade,Mandarin orangey flavor and aroma.
American Pale Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
American Pale Ale,Orbit (New Zealand),NA,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.
American Pale Ale,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
American Pale Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
American Pale Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
American Pale Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
American Pale Ale,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
American Pale Ale,Summer (Australia),5.6-6.4%,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping."
American Pale Ale,Topaz (Australia),13.7-17.7%,,"A dual purpose hop, Topaz adds a resinous, grassy flavors; however, with later additions and in higher gravity brews, light tropical fruit flavors (some say lychee) become more pronounced."
American Pale Ale,Vic Secret (Australia),14-17%,,"An aroma hop with resinous, grassy and mild fruit flavors. Late and dry hop additions introduce appealing clean and distinct pineapple and pine characters. Lighter and less dominant than Galaxy."
American Pale Ale,Wai-iti (New Zealand),3.40%,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest"
American Pale Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Barley Wine & Imperial Stout,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
Barley Wine & Imperial Stout,Apollo,15-19%,Zeus,A high alpha acid varietal known for its disease resistance.
Barley Wine & Imperial Stout,Boadicea (U.K.),8-9%,,spicy
Barley Wine & Imperial Stout,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Barley Wine & Imperial Stout,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
Barley Wine & Imperial Stout,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
Barley Wine & Imperial Stout,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
Barley Wine & Imperial Stout,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Barley Wine & Imperial Stout,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
Barley Wine & Imperial Stout,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Barley Wine & Imperial Stout,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
Barley Wine & Imperial Stout,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Barley Wine & Imperial Stout,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Barley Wine & Imperial Stout,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Barley Wine & Imperial Stout,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Barley Wine & Imperial Stout,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
Barley Wine & Imperial Stout,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
Barley Wine & Imperial Stout,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
Barley Wine & Imperial Stout,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
Barley Wine & Imperial Stout,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
Barley Wine & Imperial Stout,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Barley Wine & Imperial Stout,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
Barley Wine & Imperial Stout,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Barley Wine & Imperial Stout,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Barley Wine & Imperial Stout,Newport,13-17%,"Galena, Nugget",Fairly pungent.
Barley Wine & Imperial Stout,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
Barley Wine & Imperial Stout,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Barley Wine & Imperial Stout,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Barley Wine & Imperial Stout,Northwest Golding,4-5%,,Known for aromatic properties.
Barley Wine & Imperial Stout,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Barley Wine & Imperial Stout,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Barley Wine & Imperial Stout,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
Barley Wine & Imperial Stout,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Barley Wine & Imperial Stout,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Barley Wine & Imperial Stout,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Barley Wine & Imperial Stout,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Barley Wine & Imperial Stout,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
Barley Wine & Imperial Stout,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Barley Wine & Imperial Stout,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
Barley Wine & Imperial Stout,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
Barley Wine & Imperial Stout,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
Barley Wine & Imperial Stout,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
Barley Wine & Imperial Stout,Simcoe®,12-14%,,A bittering and aromatic hop.
Barley Wine & Imperial Stout,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
Barley Wine & Imperial Stout,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Barley Wine & Imperial Stout,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
Barley Wine & Imperial Stout,Sun,12-16%,Magnum,High-alpha hop with intense character
Barley Wine & Imperial Stout,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
Barley Wine & Imperial Stout,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Barley Wine & Imperial Stout,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Barley Wine & Imperial Stout,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Barley Wine & Imperial Stout,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
Barley Wine & Imperial Stout,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Barley Wine & Imperial Stout,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Barley Wine & Imperial Stout,Zeus,13-17%,Columbus,Aromatic and pleasant.
Belgian & French Ale,Belma (U.S.),12.10%,,"Clean bitterness, citrus, tropical fruit flavors."
Belgian & French Ale,Boadicea (U.K.),8-9%,,spicy
Belgian & French Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Belgian & French Ale,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Belgian & French Ale,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Belgian & French Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Belgian & French Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Belgian & French Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Belgian & French Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Belgian & French Ale,Huell Melon (German),7-8%,,Honeydew melon and strawberry aroma.
